fixed,buggy,baseline_ast_gumtree,line_id_tp_dataset
"public android.view.View METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 , TYPE_3 VAR_3 ) { android.view.View VAR_4 = VAR_1 . METHOD_2 ( VAR_5 , VAR_2 , false ) ; VAR_6 = ( ( TYPE_4 ) ( VAR_4 . METHOD_3 ( VAR_7 ) ) ) ; return VAR_4 ; }","public android.view.View METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 , TYPE_3 VAR_3 ) { VAR_6 = ( ( TYPE_4 ) ( getView ( ) . METHOD_3 ( VAR_7 ) ) ) ; return VAR_1 . METHOD_2 ( VAR_5 , VAR_2 , false ) ; }","['Move Invocation', 'Insert Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete VariableRead']",32
public void METHOD_1 ( boolean VAR_1 ) { int VAR_2 = ( VAR_3 . METHOD_2 ( ) . VAR_4 ) / ( VAR_5 ) ; if ( VAR_1 ) VAR_6 . METHOD_3 ( VAR_7 ) ; else VAR_6 . METHOD_3 ( VAR_8 ) ; METHOD_4 ( VAR_2 ) ; },public void METHOD_1 ( boolean VAR_1 ) { if ( VAR_1 ) VAR_6 . METHOD_3 ( VAR_7 ) ; else VAR_6 . METHOD_3 ( VAR_8 ) ; },"['Delete TypeReference', 'Delete TypeAccess', 'Delete Invocation', 'Delete FieldRead', 'Delete FieldRead', 'Delete BinaryOperator', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Invocation']",33
"private java.lang.String METHOD_1 ( ) { TYPE_1 VAR_1 = METHOD_2 ( VAR_2 , VAR_3 ) ; java.lang.String VAR_4 = VAR_5 . getString ( VAR_6 , VAR_7 ) ; TYPE_2 . METHOD_3 ( VAR_8 , ( STRING_1 + VAR_4 ) ) ; return VAR_4 ; }","private java.lang.String METHOD_1 ( ) { TYPE_1 VAR_1 = METHOD_2 ( VAR_2 , VAR_3 ) ; return VAR_5 . getString ( VAR_6 , VAR_7 ) ; }","['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete FieldRead', 'Delete VariableRead', 'Delete BinaryOperator', 'Delete Invocation', 'Delete VariableRead']",34
"public TYPE_1 METHOD_1 ( ) throws java.io.IOException , java.lang.ClassNotFoundException { TYPE_1 VAR_1 = VAR_2 . METHOD_1 ( ) ; java.lang.System.out.println ( VAR_1 ) ; return VAR_1 ; }","public TYPE_1 METHOD_1 ( ) throws java.io.IOException , java.lang.ClassNotFoundException { return VAR_2 . METHOD_1 ( ) ; }","['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete TypeAccess', 'Delete FieldRead', 'Delete VariableRead', 'Delete Invocation', 'Delete VariableRead']",37
"public TYPE_1 METHOD_1 ( final java.lang.String VAR_1 ) { final TYPE_2 VAR_2 = TYPE_3 . METHOD_2 ( VAR_3 class ) . METHOD_3 ( STRING_1 , VAR_1 ) . build ( ) ; return new TYPE_4 ( STRING_2 , VAR_2 ) ; }","public TYPE_1 METHOD_1 ( final java.lang.String VAR_1 ) { final TYPE_2 VAR_2 = TYPE_3 . METHOD_2 ( VAR_3 class ) . path ( VAR_3 class ) . METHOD_3 ( STRING_1 , VAR_1 ) . build ( ) ; return new TYPE_4 ( STRING_2 , VAR_2 ) ; }","['Insert Invocation', 'Move Invocation', 'Insert TypeAccess']",40
public void METHOD_1 ( int index ) { TYPE_1 < TYPE_2 > VAR_1 = VAR_2 ; int count = 0 ; },public void METHOD_1 ( int index ) { },"['Delete TypeReference', 'Delete TypeReference', 'Delete FieldRead', 'Delete LocalVariable', 'Delete TypeReference', 'Delete Literal', 'Delete LocalVariable']",41
"public TYPE_1 METHOD_1 ( java.lang.Integer id ) { TYPE_1 VAR_1 = VAR_2 . METHOD_1 ( id ) ; if ( VAR_1 != null ) { VAR_1 . METHOD_2 ( TYPE_2 . METHOD_3 ( VAR_1 . METHOD_4 ( ) , STRING_1 ) ) ; } return VAR_1 ; }",public TYPE_1 METHOD_1 ( java.lang.Integer id ) { return VAR_2 . METHOD_1 ( id ) ; },"['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete VariableRead', 'Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation', 'Delete TypeAccess', 'Delete Invocation', 'Delete Invocation', 'Delete Block', 'Delete If', 'Delete VariableRead']",42
"public java.lang.String METHOD_1 ( int VAR_1 , int VAR_2 , int height ) { java.lang.String VAR_3 = STRING_1 + VAR_1 ; VAR_4 . METHOD_2 ( VAR_3 , INT_1 ) ; java.lang.String x = STRING_2 ; return ( STRING_3 + VAR_1 ) + STRING_4 ; }","public java.lang.String METHOD_1 ( int VAR_1 , int VAR_2 , int height ) { VAR_4 . METHOD_2 ( VAR_1 , INT_1 ) ; java.lang.String x = STRING_2 ; return ( STRING_3 + VAR_1 ) + STRING_4 ; }","['Move VariableRead', 'Delete TypeReference', 'Delete FieldRead', 'Delete BinaryOperator', 'Delete LocalVariable', 'Delete VariableRead']",46
public TYPE_1 METHOD_1 ( int id ) { TYPE_1 VAR_1 = METHOD_2 ( id ) ; if ( VAR_1 != null ) { TYPE_2 . METHOD_3 ( VAR_1 . METHOD_4 ( ) ) ; } return VAR_1 ; },public TYPE_1 METHOD_1 ( int id ) { return METHOD_2 ( id ) ; },"['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation', 'Delete Invocation', 'Delete Block', 'Delete If', 'Delete VariableRead']",47
"private TYPE_1 METHOD_1 ( TYPE_1 VAR_1 ) { TYPE_1 VAR_2 = TYPE_1 . METHOD_2 ( METHOD_3 ( VAR_1 ) , VAR_1 . METHOD_4 ( ) ) ; return VAR_2 ; }","private TYPE_1 METHOD_1 ( TYPE_1 VAR_1 ) { return TYPE_1 . METHOD_2 ( METHOD_3 ( VAR_1 ) , VAR_1 . METHOD_4 ( ) ) ; }","['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead']",49
"public void METHOD_1 ( java.io.InputStream VAR_1 , java.lang.String VAR_2 ) throws java.io.IOException , TYPE_1 , TYPE_2 { TYPE_3 VAR_3 = new TYPE_3 ( VAR_1 ) ; TYPE_4 VAR_4 = new TYPE_4 ( ) ; VAR_4 . METHOD_1 ( VAR_3 ) ; }","public void METHOD_1 ( java.io.InputStream VAR_1 , java.lang.String VAR_2 ) throws java.io.IOException , TYPE_1 , TYPE_2 { TYPE_4 VAR_4 = new TYPE_4 ( ) ; VAR_4 . METHOD_1 ( VAR_1 ) ; }","['Move VariableRead', 'Delete TypeReference', 'Delete ConstructorCall', 'Delete LocalVariable', 'Delete VariableRead']",52
"public java.util.Map < java.lang.String , TYPE_1 > METHOD_1 ( java.lang.String VAR_1 ) { java.lang.String VAR_2 = VAR_1 + STRING_1 ; return VAR_3 . METHOD_1 ( VAR_2 ) ; }","public java.util.Map < java.lang.String , TYPE_1 > METHOD_1 ( java.lang.String VAR_1 ) { return VAR_3 . METHOD_1 ( VAR_1 ) ; }","['Move VariableRead', 'Delete TypeReference', 'Delete FieldRead', 'Delete BinaryOperator', 'Delete LocalVariable', 'Delete VariableRead']",54
public java.lang.String METHOD_1 ( TYPE_1 VAR_1 ) { java.lang.String name = VAR_2 . get ( VAR_1 . METHOD_2 ( ) ) ; if ( name == null ) { return STRING_1 ; } return name ; },public java.lang.String METHOD_1 ( TYPE_1 VAR_1 ) { return VAR_2 . get ( VAR_1 . METHOD_2 ( ) ) ; },"['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete FieldRead', 'Delete Return', 'Delete Block', 'Delete If', 'Delete VariableRead']",56
protected void METHOD_1 ( java.lang.Void VAR_1 ) { super . METHOD_1 ( VAR_1 ) ; VAR_2 . METHOD_2 ( ) ; TYPE_1 p = TYPE_2 . METHOD_3 ( ) . METHOD_4 ( INT_1 ) ; int i = 0 ; },protected void METHOD_1 ( java.lang.Void VAR_1 ) { super . METHOD_1 ( VAR_1 ) ; VAR_2 . METHOD_2 ( ) ; },"['Delete TypeReference', 'Delete TypeAccess', 'Delete Invocation', 'Delete TypeAccess', 'Delete Invocation', 'Delete LocalVariable', 'Delete TypeReference', 'Delete Literal', 'Delete LocalVariable']",57
"public void METHOD_1 ( android.view.View VAR_1 ) { TYPE_1 VAR_2 = VAR_3 . METHOD_2 ( VAR_4 , getActivity ( ) . METHOD_3 ( ) ) ; VAR_3 . METHOD_4 ( VAR_2 , new TYPE_2 ( ) ) ; }","public void METHOD_1 ( android.view.View VAR_1 ) { VAR_3 . METHOD_4 ( getActivity ( ) , new TYPE_2 ( ) ) ; }","['Update Invocation', 'Move Invocation', 'Move TypeAccess', 'Move ConstructorCall', 'Delete TypeReference', 'Delete TypeAccess', 'Delete Invocation', 'Delete LocalVariable', 'Delete TypeAccess', 'Delete VariableRead', 'Delete Invocation']",58
"public void METHOD_1 ( android.view.View view ) { android.content.Context c = METHOD_2 ( ) ; TYPE_1 . METHOD_3 ( c , STRING_1 , VAR_1 ) . show ( ) ; android.content.Intent intent = new android.content.Intent ( this , VAR_2 class ) ; METHOD_4 ( intent ) ; }","public void METHOD_1 ( android.view.View view ) { android.content.Intent intent = new android.content.Intent ( this , VAR_2 class ) ; METHOD_4 ( intent ) ; }","['Delete TypeReference', 'Delete Invocation', 'Delete LocalVariable', 'Delete TypeAccess', 'Delete VariableRead', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation', 'Delete Invocation']",60
public double METHOD_1 ( ) { java.lang.Double TYPE_1 = ( METHOD_2 ( ) ) / ( METHOD_3 ( ) ) ; if ( ( TYPE_1 . METHOD_4 ( ) ) || ( TYPE_1 == 0 ) ) return VAR_1 ; return TYPE_1 ; },public double METHOD_1 ( ) { return ( METHOD_2 ( ) ) / ( METHOD_3 ( ) ) ; },"['Move BinaryOperator', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Invocation', 'Delete VariableRead', 'Delete Literal', 'Delete BinaryOperator', 'Delete BinaryOperator', 'Delete FieldRead', 'Delete Return', 'Delete Block', 'Delete If', 'Delete VariableRead']",61
private TYPE_1 METHOD_1 ( TYPE_1 VAR_1 ) { TYPE_1 VAR_2 = new TYPE_1 ( METHOD_2 ( VAR_1 ) ) ; return VAR_2 ; },private TYPE_1 METHOD_1 ( TYPE_1 VAR_1 ) { },"['Delete TypeReference', 'Delete VariableRead', 'Delete Invocation', 'Delete ConstructorCall', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Return']",63
"public void METHOD_1 ( TYPE_1 VAR_1 ) { TYPE_2 VAR_2 = ( ( TYPE_2 ) ( VAR_3 . get ( INT_1 ) ) ) ; int VAR_4 = VAR_5 . field ( VAR_6 ) ; assertEquals ( INT_2 , VAR_4 ) ; }","public void METHOD_1 ( TYPE_1 VAR_1 ) { TYPE_2 VAR_2 = ( ( TYPE_2 ) ( VAR_3 . get ( INT_1 ) ) ) ; assertEquals ( INT_2 , VAR_5 . field ( VAR_6 ) ) ; }","['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead']",66
public void METHOD_1 ( ) { java.lang.String VAR_1 = METHOD_2 ( ) ; METHOD_3 ( ) ; TYPE_1 VAR_2 = new TYPE_1 ( VAR_1 ) ; METHOD_4 ( VAR_3 . handle ( ) ) ; METHOD_5 ( ) ; },"public void METHOD_1 ( ) { java.lang.String VAR_1 = METHOD_2 ( ) ; METHOD_3 ( ) ; TYPE_1 VAR_2 = new TYPE_1 ( VAR_1 , out ) ; VAR_3 . handle ( ) ; METHOD_5 ( ) ; }","['Move Invocation', 'Update ConstructorCall', 'Insert FieldRead', 'Delete Invocation']",67
"public int METHOD_1 ( ) { TYPE_1 VAR_1 = METHOD_2 ( ) ; int x = VAR_2 . delete ( VAR_3 , STRING_1 , null ) ; VAR_1 . METHOD_3 ( ) ; return x ; }","public void METHOD_1 ( ) { TYPE_1 VAR_1 = METHOD_2 ( ) ; VAR_2 . delete ( VAR_3 , null , null ) ; VAR_1 . METHOD_3 ( ) ; }","['Update TypeReference', 'Move Invocation', 'Insert Literal', 'Delete TypeAccess', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Return']",68
"public void METHOD_1 ( java.lang.String VAR_1 ) { TYPE_1 event = TYPE_2 . METHOD_2 ( ) ; event . METHOD_3 ( STRING_1 , STRING_2 ) ; VAR_2 . METHOD_4 ( event , VAR_1 ) ; }","public void METHOD_1 ( java.lang.String VAR_1 ) { VAR_2 . METHOD_4 ( null , VAR_1 ) ; }","['Insert Literal', 'Delete TypeReference', 'Delete TypeAccess', 'Delete Invocation', 'Delete LocalVariable', 'Delete VariableRead', 'Delete TypeAccess', 'Delete TypeAccess', 'Delete Invocation', 'Delete VariableRead']",69
public void METHOD_1 ( ) { boolean p = METHOD_2 ( ) ; if ( p ) METHOD_3 ( ) ; },public void METHOD_1 ( ) { if ( METHOD_2 ( ) ) METHOD_3 ( ) ; },"['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead']",70
public void METHOD_1 ( ) { double VAR_1 = 0 ; if ( VAR_1 < ( INT_1 * ( VAR_2 ) ) ) { VAR_3 = true ; } else { VAR_3 = false ; } },public void METHOD_1 ( ) { if ( ( VAR_1 ) < ( INT_1 * ( VAR_2 ) ) ) { VAR_3 = true ; } else { VAR_3 = false ; } },"['Insert FieldRead', 'Delete TypeReference', 'Delete Literal', 'Delete LocalVariable', 'Delete VariableRead']",71
"private void METHOD_1 ( TYPE_1 VAR_1 ) { java.util.Date date = new java.util.Date ( ) ; TYPE_2 item = new TYPE_2 ( ( - 1 ) , STRING_1 , false , date ) ; METHOD_2 ( item ) ; }","private void METHOD_1 ( TYPE_1 VAR_1 ) { TYPE_2 item = new TYPE_2 ( ( - 1 ) , STRING_1 , false , new java.util.Date ( ) ) ; METHOD_2 ( item ) ; }","['Move ConstructorCall', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead']",72
public void METHOD_1 ( ) { java.lang.Long VAR_1 = 0L ; },public void METHOD_1 ( ) { },"['Delete TypeReference', 'Delete Literal', 'Delete LocalVariable']",73
"private void METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 [ ] VAR_2 , int VAR_3 ) { TYPE_3 path = new TYPE_3 ( VAR_4 , VAR_1 , VAR_2 , true ) . METHOD_2 ( ) ; METHOD_3 ( path , VAR_3 ) ; }","private void METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 [ ] VAR_2 , int VAR_3 ) { METHOD_3 ( new TYPE_3 ( VAR_4 , VAR_1 , VAR_2 , true ) , VAR_3 ) ; }","['Update Invocation', 'Move Invocation', 'Move VariableRead', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete Invocation']",74
"public boolean METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 response ) throws java.lang.Exception { java.lang.String VAR_2 = VAR_1 . METHOD_2 ( ) ; TYPE_3 . METHOD_3 ( VAR_2 ) ; return true ; }","public boolean METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 response ) throws java.lang.Exception { TYPE_3 . METHOD_3 ( ) ; return true ; }","['Delete TypeReference', 'Delete VariableRead', 'Delete Invocation', 'Delete LocalVariable', 'Delete VariableRead']",78
"public void METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 ) { java.lang.String VAR_3 = METHOD_2 ( ) ; TYPE_3 . METHOD_3 ( VAR_1 , VAR_3 , VAR_4 ) ; TYPE_4 . METHOD_4 ( VAR_1 , VAR_3 , VAR_4 ) ; }","public void METHOD_1 ( TYPE_1 VAR_1 , TYPE_2 VAR_2 ) { TYPE_3 . METHOD_3 ( VAR_1 , METHOD_2 ( ) , VAR_4 ) ; }","['Move Invocation', 'Delete TypeReference', 'Delete LocalVariable', 'Delete VariableRead', 'Delete TypeAccess', 'Delete VariableRead', 'Delete VariableRead', 'Delete TypeAccess', 'Delete Invocation']",80
